yearHead,opus-no,title,year,tags,instrumentation,instrument-tags,description,video-link,gallery,duration
,,,,xenharmonic,,,,,https://www.youtube.com/embed/GZOGQu8FGKo,
,,,,xenharmonic,,,,,https://www.youtube.com/embed/nGAZ1--6OhY,
,,,,xenharmonic,,,,,https://www.youtube.com/embed/WYkK-OPgVew,
,,,,xenharmonic,,,,,https://www.youtube.com/embed/paZKtip3wh4,
,,,,xenharmonic,,,,,https://www.youtube.com/embed/vbNw8qjeh68,
,,,,xenharmonic,,,,,https://www.youtube.com/embed/s2t-Ukut-i8,
,,,,xenharmonic,,,,,https://www.youtube.com/embed/m4cH3WooJ-0,
,,,,xenharmonic,,,,,,
,1,"A Brand New, Lazy Day!",2019,"all, chamber","Piano, Violin","Piano, Violin",,,,"1' 30"""
,2,"Oh Captain, My Captain!",2019,"all, vocal","Voice, Piano Accompaniment","Voice, Piano",,,,"2' 30"""
,3,"<span class=""japanese_body"">狼と香辛料</span> ✦ <em>Spice and Wolf</em>",2019,"all, chamber","Piano Quartet (Piano, Violin, Viola, Cello)","Piano, Violin, Viola, Cello",,,,"5"""
,4,"<span class=""hindi_body"">मेरे वन में, मेरे वष में</span> ✦ <em>In my Forest, in My Control</em>",2019,"all, chamber, vocal","Piano, Cello, Tenor/Baritone","Piano, Voice, Cello","A short, original composition of mine performed in the annual ""Fresh Ink"" concert for aspiring composers. I composed this piece during Halloween, around the time the announcement about this concert was made. 
<br>&nbsp;<br>
The theme is based on a monster in the forest who lures children into his magical world, where they'll stay forever.
<br>&nbsp;<br>
Lyrics to the song:  (Translation:)<br>
<span class=""hindi_text"">उस दिन मैने देखा यह जादू,</span>         (That day I saw this magic,)<br>
<span class=""hindi_text"">आज वह मै तुझे भी दिखाऊं।</span>       (Today I shall show that to you.)<br>
<span class=""hindi_text"">मैने देखा जो जदू,</span>                        (The magic I saw that day,)<br>
<span class=""hindi_text"">आज वह मै तुझे भी दिखाऊं।</span>       (Today I shall show that to you.)
<br>&nbsp;<br>
<span class=""hindi_text"">तो चलो मेरे संग,</span>                          (So come with me,)<br>
<span class=""hindi_text"">तो चलो मेरे संग,</span>                          (So come with me,)<br>
<span class=""hindi_text"">तो चलो मेरे संग।</span>                         (So come with me.)
<br>&nbsp;<br>
<span class=""hindi_text"">बस, अब एक और कदम।</span>            (Now, just another step.)
<br>&nbsp;<br>
This was my first ever composition at St. Olaf College. This was also the first time a composition of mine was performed. ",https://www.youtube.com/embed/7eES5YWdIvs?si=DXb-atcfTE1I3eiW,,"2' 30"""
,5,Garden,2019,"all, vocal","Voice, Piano Accompaniment","Piano, Voice",,,,"2' 15"""
2019,,,,"all, chamber, vocal",,,,,,
,6,Polonaise in C ✦ <em>for Solo Piano</em>,2020,"all, solo",Solo Piano,Piano,"This piece was written as an assignment for a music theory class. Written in one night, yes, the night before it was due.
<br>&nbsp;<br>
Here is what we had to do: <br>
Compose a piece in Ternary Form and include the following: <br>
1) One chromatic common chord modulation or one chromatic common tone modulation.<br>
2) In addition to modulations, at least two other examples of mode mixture. <br>
3) One Plagal Cadence <br>
4) At least two applied chords <br>
5) Complete roman numeral analysis on final copy <br>
6) A phrase analysis 
<br>&nbsp;<br>
This is clearly a small and insignificant piece. But it means a lot to me as this is what really encouraged my to pursue the composition degree. I realized how much fun I had writing music, and my professor said ""That was......astonishingly good....."" when she listened to my piece. I didn't think it was that great but my teacher's comments were all the encouragement I needed.",https://www.youtube.com/embed/s69RuSHg_Ao?si=zsuRPzhPe587Xe1b,,"1' 40"""
,7,Sonatina in D ✦ <em>for Solo Piano</em>,2020,"all, solo",Solo Piano,Piano,"This piece was written as an assignment for a music theory class. Yes, this was also written in one night, yes, the night before it was due.
<br>&nbsp;<br>
Here is what we had to do: <br>
Compose a piece in Sonata Form and include the following: <br>
1) Two different augmented-sixth chords<br>
2) One Neapolitan Chord <br>
3) One example of Modal Interchange <br>
4) A complete form Diagram <br>
<br>&nbsp;<br>
This was for the same music theory class which I wrote the Polonaise for. Again, had so much fun. ",https://www.youtube.com/embed/sM9pP06ECc4?si=K-384m-Lt2OOeVBh,,"2' 45"""
,8,"<span class=""japanese_body"">色づく世界</span> ✦ <em>A Colourful World</em>",2020,"all, xenharmonic",Virtual Microtonal Orchestra,,"This was my final assignment for my first ever composition class. Our assignment was to compose for a short film, which is awesome because that's kinda what I want to explore/do with my compositions. As mentioned in the video, I've used 31-TET for the background score. I've been dabbling a bit in microtonality (*ahem* remember what I said in my last video?) and thought it would be a cool idea to use microtonality for my project. All composition and MIDI realization was done on MuseScore. Some  dialogues (especially scene 1) may have poor audio quality, that's because I removed the original BGM with Audacity. 
<br>&nbsp;<br>
Another thing I want to point out is my use of Gamelan. I took a musicology course side by side with this course and we had a section on Javanese Gamelan. I was really enamoured by it's sound and wanted to explore more of it. I have heavily appropriated the instrument to support a Western setting, which I understand may raise a few eyebrows. But I loved the sound and really wanted to include it! 
<br>&nbsp;<br>
<strong>Brief Context:</strong><br>
The main girl is from the future. She is unable to see colour. She went back in time using magic and ended up in the main boy’s house. She quickly escapes but the boy suspects that his room was broken into and tries to find the culprit. The girl drops a piece of jewellery at the boy’s house and uses magic to find the location of it. When following the boy to ask him for her jewellery, she notices that she can see colour in the guy's drawings. She is overcome by emotion and joy. (Sorry for the poorly worded context, I'm too eager to upload this so I rushed it lol) 
<br>&nbsp;<br>
<strong>Timestamps: </strong><br>
0:00 Intro<br>
0:10 Film + BG Music + Dialogues <br>
4:10 Score + BG Music (No dialogues)
<br>&nbsp;<br>
I have a file containing a detailed analysis/discussion of the compositional techniques I used while also explaining some fundamentals of 31-TET, let me know if you want it and I'll be happy to share!",https://www.youtube.com/embed/U2c-qKztUvc?si=Y6VJvIETqGOL4RSG,,"4"""
2020,,,,"all, solo, xenharmonic",,,,,,
